Avg_Rating,Geek_Rating,Title,Vote
"
			8.91		","
			8.612		",Gloomhaven,"
			24101		"
"
			8.65		","
			8.492		",Pandemic Legacy: Season 1,"
			30682		"
"
			8.54		","
			8.258		",Through the Ages: A New Story of Civilization,"
			15375		"
"
			8.40		","
			8.241		",Terraforming Mars,"
			37613		"
"
			8.32		","
			8.175		",Twilight Struggle,"
			34064		"
"
			8.45		","
			8.162		",Star Wars: Rebellion,"
			16302		"
"
			8.56		","
			8.125		",Gaia Project,"
			8884		"
"
			8.29		","
			8.120		",Scythe,"
			38624		"
"
			8.29		","
			8.078		",Great Western Trail,"
			18699		"
"
			8.73		","
			8.066		",Twilight Imperium (Fourth Edition),"
			6301		"
"
			8.20		","
			8.050		",Terra Mystica,"
			32298		"
"
			8.42		","
			8.031		",War of the Ring (Second Edition),"
			9654		"
"
			8.13		","
			8.012		",The Castles of Burgundy,"
			36205		"
"
			8.13		","
			7.992		",7 Wonders Duel,"
			39840		"
"
			8.38		","
			7.991		",Spirit Island,"
			10251		"
"
			8.62		","
			7.975		",Brass: Birmingham,"
			5166		"
"
			8.43		","
			7.941		",The 7th Continent,"
			8750		"
"
			8.15		","
			7.928		",Viticulture Essential Edition,"
			17008		"
"
			8.10		","
			7.925		",Concordia,"
			19454		"
"
			8.04		","
			7.923		",Puerto Rico,"
			56029		"
"
			8.23		","
			7.921		",Arkham Horror: The Card Game,"
			16989		"
"
			8.08		","
			7.909		",Caverna: The Cave Farmers,"
			23416		"
"
			8.12		","
			7.909		",Brass: Lancashire,"
			14815		"
"
			8.10		","
			7.895		",Mage Knight Board Game,"
			23290		"
"
			7.99		","
			7.889		",Agricola,"
			56620		"
"
			8.16		","
			7.878		",Mansions of Madness: Second Edition,"
			16188		"
"
			8.08		","
			7.876		",Orléans,"
			15596		"
"
			8.18		","
			7.857		",A Feast for Odin,"
			10840		"
"
			8.18		","
			7.851		",Food Chain Magnate,"
			9460		"
"
			8.03		","
			7.849		",Blood Rage,"
			25160		"
"
			8.14		","
			7.817		",Mechs vs. Minions,"
			11007		"
"
			8.27		","
			7.812		",Pandemic Legacy: Season 2,"
			6955		"
"
			8.81		","
			7.810		",Kingdom Death: Monster,"
			5759		"
"
			8.09		","
			7.808		",Star Wars: Imperial Assault,"
			16395		"
"
			7.99		","
			7.803		",Through the Ages: A Story of Civilization,"
			16837		"
"
			7.89		","
			7.802		",Power Grid,"
			49602		"
"
			7.94		","
			7.786		",Azul,"
			26540		"
"
			7.95		","
			7.777		",Eclipse,"
			23889		"
"
			7.93		","
			7.777		",Tzolk'in: The Mayan Calendar,"
			24188		"
"
			7.89		","
			7.754		",Le Havre,"
			22919		"
"
			7.91		","
			7.745		",Robinson Crusoe: Adventures on the Cursed Island,"
			26398		"
"
			7.94		","
			7.731		",The Voyages of Marco Polo,"
			15185		"
"
			8.07		","
			7.710		",Clans of Caledonia,"
			8666		"
"
			7.90		","
			7.710		",Android: Netrunner,"
			24166		"
"
			7.78		","
			7.691		",7 Wonders,"
			68210		"
"
			7.86		","
			7.676		",Keyflower,"
			15755		"
"
			7.76		","
			7.663		",Race for the Galaxy,"
			40317		"
"
			7.81		","
			7.662		",Caylus,"
			24523		"
"
			7.85		","
			7.659		",Dominant Species,"
			15565		"
"
			8.14		","
			7.649		",Fields of Arle,"
			5676		"
"
			7.77		","
			7.647		",Lords of Waterdeep,"
			38193		"
"
			8.12		","
			7.644		",Anachrony,"
			6682		"
"
			8.02		","
			7.643		",Rising Sun,"
			10226		"
"
			7.87		","
			7.641		",Twilight Imperium (Third Edition),"
			17172		"
"
			7.78		","
			7.640		",Five Tribes,"
			25377		"
"
			7.86		","
			7.634		",Eldritch Horror,"
			23340		"
"
			7.78		","
			7.629		",El Grande,"
			21097		"
"
			7.72		","
			7.628		",Codenames,"
			50105		"
"
			7.82		","
			7.614		",Clank!: A Deck-Building Adventure,"
			16583		"
"
			8.10		","
			7.613		",Root,"
			6504		"
"
			7.74		","
			7.610		",Dominion: Intrigue,"
			26921		"
"
			7.72		","
			7.604		",Patchwork,"
			32914		"
"
			8.02		","
			7.601		",The Gallerist,"
			6623		"
"
			7.93		","
			7.597		",Mombasa,"
			8475		"
"
			7.74		","
			7.592		",Battlestar Galactica: The Board Game,"
			29622		"
"
			7.73		","
			7.587		",Roll for the Galaxy,"
			21144		"
"
			7.80		","
			7.580		",Sherlock Holmes Consulting Detective: The Thames Murders & Other Cases,"
			13322		"
"
			7.77		","
			7.577		",T.I.M.E Stories,"
			18714		"
"
			7.76		","
			7.574		",Troyes,"
			14946		"
"
			7.79		","
			7.565		",Russian Railroads,"
			12021		"
"
			7.71		","
			7.560		",Tigris & Euphrates,"
			22994		"
"
			7.78		","
			7.554		",Trajan,"
			12431		"
"
			7.77		","
			7.552		",Star Wars: X-Wing Miniatures Game,"
			20649		"
"
			7.64		","
			7.547		",Pandemic,"
			82269		"
"
			7.65		","
			7.545		",Dominion,"
			67668		"
"
			7.69		","
			7.542		",Dead of Winter: A Crossroads Game,"
			32407		"
"
			8.18		","
			7.533		",Wingspan,"
			4548		"
"
			7.79		","
			7.527		",Crokinole,"
			9381		"
"
			8.00		","
			7.522		",Pandemic: Iberia,"
			5986		"
"
			7.75		","
			7.521		",Kemet,"
			13025		"
"
			8.20		","
			7.513		",Lisboa,"
			3934		"
"
			7.73		","
			7.500		",Descent: Journeys in the Dark (Second Edition),"
			19152		"
"
			7.60		","
			7.496		",Stone Age,"
			37845		"
"
			7.99		","
			7.495		",Forbidden Stars,"
			5965		"
"
			8.14		","
			7.493		",Agricola (Revised Edition),"
			4481		"
"
			7.70		","
			7.486		",Alchemists,"
			14499		"
"
			7.82		","
			7.480		",Raiders of the North Sea,"
			8281		"
"
			7.92		","
			7.477		",Yokohama,"
			5741		"
"
			7.78		","
			7.474		",War of the Ring (First Edition),"
			9455		"
"
			7.80		","
			7.473		",Legendary Encounters: An Alien Deck Building Game,"
			9117		"
"
			7.61		","
			7.473		",Star Realms,"
			27995		"
"
			7.63		","
			7.469		",Castles of Mad King Ludwig,"
			18639		"
"
			7.66		","
			7.465		",Santorini,"
			16937		"
"
			7.61		","
			7.464		",Istanbul,"
			19614		"
"
			7.66		","
			7.464		",A Game of Thrones: The Board Game (Second Edition),"
			23745		"
"
			7.79		","
			7.462		",Champions of Midgard,"
			8530		"
"
			7.63		","
			7.458		",The Resistance: Avalon,"
			22249		"
"
			7.78		","
			7.453		",Grand Austria Hotel,"
			8175		"
"
			8.06		","
			7.452		",Aeon's End,"
			4899		"
"
			7.56		","
			7.447		",Ticket to Ride: Europe,"
			46897		"
"
			7.19		","
			6.508		",The Staufer Dynasty,"
			1815		"
"
			7.12		","
			6.508		",Ulm,"
			2078		"
"
			7.06		","
			6.508		",Löwenherz,"
			2309		"
"
			8.01		","
			6.508		",Advanced Squad Leader: Starter Kit #3,"
			913		"
"
			6.91		","
			6.507		",Meuterer,"
			3134		"
"
			7.56		","
			6.507		",The New Era,"
			1224		"
"
			6.86		","
			6.506		",Wyatt Earp,"
			3733		"
"
			7.24		","
			6.506		",Murano,"
			1671		"
"
			6.86		","
			6.506		",The Magic Labyrinth,"
			3880		"
"
			7.20		","
			6.505		",Istanbul: The Dice Game,"
			1840		"
"
			6.69		","
			6.502		",Cartagena,"
			7085		"
"
			7.13		","
			6.502		",Villainous,"
			2496		"
"
			7.27		","
			6.500		",Lovecraft Letter,"
			1688		"
"
			7.39		","
			6.500		",Agra,"
			1418		"
"
			6.72		","
			6.500		",The Game,"
			6234		"
"
			7.05		","
			6.498		",Jump Drive,"
			2250		"
"
			6.81		","
			6.497		",Starfarers of Catan,"
			4711		"
"
			7.17		","
			6.497		",Archaeology: The New Expedition,"
			1934		"
"
			6.79		","
			6.497		",Room 25,"
			4834		"
"
			6.71		","
			6.497		",Timeline: Inventions,"
			6460		"
"
			7.63		","
			6.497		",Stronghold (2nd edition),"
			1124		"
"
			6.60		","
			6.497		",Saboteur,"
			20961		"
"
			6.85		","
			6.496		",Bausack,"
			3638		"
"
			7.20		","
			6.495		",Patchistory,"
			1820		"
"
			6.70		","
			6.494		",Poker,"
			8006		"
"
			6.88		","
			6.493		",Aton,"
			3173		"
"
			6.72		","
			6.493		",Tides of Time,"
			5639		"
"
			6.94		","
			6.492		",Gravwell: Escape from the 9th Dimension,"
			2868		"
"
			6.92		","
			6.492		",Aladdin's Dragons,"
			2987		"
"
			7.06		","
			6.491		",Fallout,"
			3257		"
"
			8.00		","
			6.491		",War Chest,"
			881		"
"
			6.84		","
			6.490		",Dice City,"
			3740		"
"
			7.82		","
			6.489		",Container: 10th Anniversary Jumbo Edition!,"
			916		"
"
			6.87		","
			6.488		",Warrior Knights,"
			3666		"
"
			7.29		","
			6.488		",Necromunda,"
			1721		"
"
			7.58		","
			6.487		",Blackout: Hong Kong,"
			1128		"
"
			7.10		","
			6.486		",Villages of Valeria,"
			2096		"
"
			6.92		","
			6.484		",The Little Prince: Make Me a Planet,"
			2963		"
"
			6.98		","
			6.483		",Kremlin,"
			2640		"
"
			6.91		","
			6.482		",In the Shadow of the Emperor,"
			2810		"
"
			7.14		","
			6.481		",Unlock! The Formula,"
			1844		"
"
			7.17		","
			6.481		",Mü & More,"
			1779		"
"
			7.00		","
			6.480		",Pixel Tactics,"
			2572		"
"
			6.66		","
			6.480		",Spot it!,"
			9115		"
"
			7.31		","
			6.480		",Sword of Rome,"
			1477		"
"
			6.93		","
			6.479		",Escape from the Aliens in Outer Space,"
			2867		"
"
			6.78		","
			6.479		",Roma,"
			4263		"
"
			7.38		","
			6.478		",Deep Space D-6,"
			1478		"
"
			7.22		","
			6.478		",Doomtown: Reloaded,"
			1977		"
"
			7.36		","
			6.477		",Valley of the Kings: Afterlife,"
			1398		"
"
			7.00		","
			6.477		",The Scepter of Zavandor,"
			2429		"
"
			8.13		","
			6.477		",Star Realms: Frontiers,"
			800		"
"
			7.66		","
			6.476		","Time of Crisis: The Roman Empire in Turmoil, 235-284 AD","
			1057		"
"
			6.73		","
			6.476		",Ghost Blitz,"
			5396		"
"
			7.68		","
			6.476		",Crusaders: Thy Will Be Done,"
			1034		"
"
			7.39		","
			6.475		",Ascension: Immortal Heroes,"
			1386		"
"
			7.52		","
			6.475		",1856: Railroading in Upper Canada from 1856,"
			1142		"
"
			6.66		","
			6.474		",TransAmerica,"
			7254		"
"
			8.18		","
			6.473		",Codex: Card-Time Strategy – Deluxe Set,"
			832		"
"
			7.34		","
			6.473		",Wars of the Roses: Lancaster vs. York,"
			1404		"
"
			7.37		","
			6.472		",Fantasy Realms,"
			1377		"
"
			6.83		","
			6.471		",Factory Fun,"
			3328		"
"
			7.26		","
			6.471		",The Captain Is Dead,"
			1735		"
"
			6.86		","
			6.471		",Dead Man's Draw,"
			3546		"
"
			7.25		","
			6.471		",City of Iron,"
			1566		"
"
			7.29		","
			6.470		",Medina (second edition),"
			1465		"
"
			6.66		","
			6.470		",Mascarade,"
			7878		"
"
			6.82		","
			6.469		",Rune Age,"
			3957		"
"
			7.00		","
			6.469		",Aquaretto,"
			2368		"
"
			7.27		","
			6.468		",Fireball Island: The Curse of Vul-Kar,"
			1877		"
"
			7.33		","
			6.468		",Haspelknecht,"
			1401		"
"
			6.85		","
			6.467		",D-Day Dice,"
			3237		"
"
			6.71		","
			6.467		",Blue Moon,"
			5267		"
"
			7.45		","
			6.467		",DC Comics Dice Masters: Justice League,"
			1258		"
"
			6.81		","
			6.467		",Blokus 3D,"
			3670		"
"
			6.65		","
			6.467		",Kahuna,"
			7234		"
"
			6.84		","
			6.465		",Power Grid: The First Sparks,"
			3243		"
"
			6.66		","
			6.465		",Fearsome Floors,"
			6890		"
"
			7.46		","
			6.465		",Galaxy Defenders,"
			1371		"
"
			7.11		","
			6.465		",Ingenious: Travel Edition,"
			1843		"
"
			6.61		","
			6.464		",Ca$h 'n Gun$,"
			9354		"
"
			6.82		","
			6.464		",Kodama: The Tree Spirits,"
			3702		"
"
			7.23		","
			6.463		",Porta Nigra,"
			1515		"
"
			7.11		","
			6.463		",Age of Renaissance,"
			2057		"
"
			7.31		","
			6.462		",Sentient,"
			1436		"
"
			7.66		","
			6.462		",Crisis,"
			1045		"
"
			6.97		","
			6.462		",Star Wars: Epic Duels,"
			2910		"
"
			7.13		","
			6.462		",Ticket to Ride: New York,"
			1865		"
"
			7.30		","
			6.461		",Tiny Epic Zombies,"
			1815		"
"
			6.93		","
			6.460		",Blokus Trigon,"
			2694		"
"
			6.96		","
			6.460		",Olympos,"
			2390		"
"
			7.01		","
			6.459		",Power Struggle,"
			2144		"
"
			7.08		","
			6.459		",Coup: Rebellion G54,"
			2056		"
"
			6.99		","
			6.459		",Giants,"
			2291		"
"
			6.69		","
			6.458		",Balloon Cup,"
			5357		"
"
			7.28		","
			6.456		",Puzzle Strike (Third Edition),"
			1590		"
"
			6.86		","
			6.456		",Traders of Osaka,"
			2884		"
"
			7.07		","
			6.455		",Rise of Empires,"
			1941		"
"
			7.55		","
			6.455		",Battle for Rokugan,"
			1171		"
"
			6.70		","
			6.454		",CV,"
			5093		"
"
			6.09		","
			5.538		",SłowoStwory,"
			86		"
"
			6.82		","
			5.538		",Kirovograd,"
			40		"
"
			6.62		","
			5.538		",Uppsala: Città d'Italia,"
			42		"
"
			6.31		","
			5.538		",The Contender: The Game of Presidential Debate,"
			90		"
"
			6.64		","
			5.538		",Pirates of the Caribbean: Master of the Seas Strategy Game,"
			49		"
"
			6.52		","
			5.538		",CLUE: Firefly Edition,"
			83		"
"
			7.12		","
			5.538		",March to Victory: West Front 1914-1916,"
			45		"
"
			6.61		","
			5.538		",Mississippi Banzai,"
			47		"
"
			6.62		","
			5.538		",Battlestar Galactica,"
			53		"
"
			6.76		","
			5.538		",8-Bit Invaders,"
			49		"
"
			6.61		","
			5.538		",Word-Whiz,"
			46		"
"
			6.63		","
			5.538		",Der Schatz der 13 Inseln,"
			46		"
"
			6.38		","
			5.538		",TEG: La Revancha,"
			86		"
"
			6.85		","
			5.538		",Timeline: Canada,"
			39		"
"
			6.03		","
			5.538		",Double Feature,"
			151		"
"
			6.23		","
			5.538		",Phase Line Smash,"
			79		"
"
			5.92		","
			5.538		",Transylvania: Curses & Traitors,"
			169		"
"
			7.55		","
			5.538		",The Pirate's Flag,"
			31		"
"
			6.78		","
			5.538		",Campaign for Guadalcanal: Long Lance & Henderson Field,"
			36		"
"
			6.12		","
			5.538		",Mia,"
			92		"
"
			6.66		","
			5.538		",Risk: Star Trek 50th Anniversary Edition,"
			54		"
"
			6.71		","
			5.538		",Element,"
			42		"
"
			7.74		","
			5.538		",Arcade,"
			32		"
"
			7.08		","
			5.538		",1847: Pfalz,"
			30		"
"
			7.40		","
			5.538		",Jours de gloire Campagne II: La Pologne,"
			33		"
"
			6.42		","
			5.538		",Zitadelle: Duel for Kursk,"
			60		"
"
			6.33		","
			5.538		",Pungi,"
			57		"
"
			6.09		","
			5.538		",Democracy: Majority Rules,"
			90		"
"
			7.04		","
			5.538		",Starship Command,"
			40		"
"
			7.38		","
			5.538		",Fantasy Battles: The 9th Age,"
			42		"
"
			6.21		","
			5.538		",MUNERA: Familia Gladiatoria,"
			140		"
"
			6.40		","
			5.538		",Bloody Keren,"
			60		"
"
			7.08		","
			5.538		",Hungarian Nightmare,"
			32		"
"
			6.88		","
			5.538		",The Sun Never Sets,"
			42		"
"
			6.71		","
			5.538		",Breaking Bad: The Board Game,"
			120		"
"
			5.86		","
			5.538		",Hundred Days Battles,"
			182		"
"
			6.73		","
			5.538		",Guns of Galicia,"
			46		"
"
			5.76		","
			5.538		",Incredible Expeditions: Quest for Atlantis,"
			121		"
"
			6.03		","
			5.538		",Star System,"
			98		"
"
			6.74		","
			5.538		",Vinegar Joe's War: CBI,"
			41		"
"
			5.95		","
			5.538		",Jackal & High,"
			145		"
"
			6.57		","
			5.538		","Boom, Bang, Gold","
			64		"
"
			8.27		","
			5.538		",Iwari,"
			30		"
"
			6.60		","
			5.538		",De Bellis Magistrorum Militum,"
			57		"
"
			6.40		","
			5.538		",Jutland: Duel of the Dreadnoughts,"
			66		"
"
			6.12		","
			5.538		",Tonga Island,"
			74		"
"
			8.52		","
			5.538		","So Long, My World","
			32		"
"
			6.75		","
			5.538		",Panzer Vor!,"
			42		"
"
			6.50		","
			5.538		",Fantasy Warriors,"
			71		"
"
			6.14		","
			5.538		",Ghost Blaster,"
			74		"
"
			7.03		","
			5.538		",Battle for China (first edition),"
			35		"
"
			7.13		","
			5.538		",Legends and Lies,"
			39		"
"
			5.86		","
			5.538		",The Great Chili Cookoff,"
			175		"
"
			7.59		","
			5.538		",Ameritocracy,"
			30		"
"
			6.61		","
			5.538		","Desert War: Egypt, 1940","
			48		"
"
			6.50		","
			5.537		",Farben,"
			55		"
"
			6.47		","
			5.537		",Trail of the Fox,"
			52		"
"
			6.80		","
			5.537		",Shadowrun: Zero Day,"
			38		"
"
			7.15		","
			5.537		",Seven Seas to Victory,"
			31		"
"
			5.80		","
			5.537		",Duell,"
			227		"
"
			6.51		","
			5.537		",Blitzkrieg 1940,"
			53		"
"
			6.17		","
			5.537		",Starfall,"
			94		"
"
			6.74		","
			5.537		",Nordwind 1945,"
			37		"
"
			6.32		","
			5.537		",Blood & Thunder,"
			66		"
"
			6.38		","
			5.537		",Crash!,"
			51		"
"
			7.82		","
			5.537		",Town Builder: Coevorden,"
			31		"
"
			5.95		","
			5.537		",Azteca,"
			138		"
"
			5.98		","
			5.537		",CrossWise,"
			104		"
"
			5.78		","
			5.537		",Yellowstone Park,"
			194		"
"
			5.73		","
			5.537		",Minecraft Card Game?,"
			690		"
"
			6.28		","
			5.537		",The Battle of Prague,"
			71		"
"
			6.62		","
			5.537		",Rocca Rails,"
			41		"
"
			7.94		","
			5.537		",Armies of Arcana,"
			45		"
"
			7.30		","
			5.537		",Art of War,"
			48		"
"
			6.33		","
			5.537		",Ophidian 2350,"
			79		"
"
			6.40		","
			5.537		",Tubyrinth,"
			70		"
"
			7.13		","
			5.537		",Waroong Wars,"
			47		"
"
			5.91		","
			5.537		",The Kaiser's Battle,"
			141		"
"
			6.28		","
			5.537		",1830 Cardgame,"
			60		"
"
			6.60		","
			5.537		",Layers,"
			45		"
"
			6.69		","
			5.537		",Plagio,"
			43		"
"
			7.31		","
			5.537		",Siege of Sunfall,"
			32		"
"
			6.91		","
			5.537		",Trivial Pursuit: Classic Edition,"
			36		"
"
			6.09		","
			5.537		",Hippo,"
			108		"
"
			6.67		","
			5.537		",Imperial Harvest,"
			58		"
"
			6.21		","
			5.537		",Halali,"
			95		"
"
			6.09		","
			5.537		","Operation Shoestring: The Guadalcanal Campaign, 1942","
			92		"
"
			6.48		","
			5.537		",Mumia: Wyścig w bandażach,"
			47		"
"
			5.94		","
			5.537		",A Line in the Sand: The Battle of Iraq,"
			198		"
"
			6.30		","
			5.537		",Soqquadro,"
			75		"
"
			6.44		","
			5.537		",Cargolino Valentino,"
			62		"
"
			6.67		","
			5.537		",Wordz,"
			42		"
"
			6.98		","
			5.537		",Guild Stack,"
			33		"
"
			5.74		","
			5.537		",Beep! Beep!,"
			232		"
"
			6.67		","
			5.537		",Mystick Companion,"
			39		"
"
			6.15		","
			5.537		",Hoppe Reiter,"
			79		"
"
			7.07		","
			5.537		",Jumpy Jack,"
			32		"
"
			7.16		","
			5.537		",Hidden Intruder,"
			30		"
"
			6.14		","
			5.537		","Pirates, Ninjas, Robots, & Zombies","
			80		"
"
			5.96		","
			5.537		",Suzerain,"
			116		"